"filename", "language", "Python", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Dist\db.json", "JSON", 0, 697, 0, 0, 0, 697
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Dist\item_file.json", "JSON", 0, 596, 0, 0, 47, 643
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Caster.py", "Python", 144, 0, 0, 0, 49, 193
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Class.py", "Python", 161, 0, 0, 0, 48, 209
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\On_Start.py", "Python", 377, 0, 0, 58, 55, 490
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Race.py", "Python", 140, 0, 0, 0, 49, 189
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Sheet.py", "Python", 116, 0, 0, 17, 34, 167
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Utils\Importer.py", "Python", 4, 0, 0, 0, 0, 4
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\Grimoir.py", "Python", 6607, 0, 0, 0, 4, 6611
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\Rules.py", "Python", 76, 0, 0, 0, 15, 91
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Caster.py", "Python", 119, 0, 0, 0, 23, 142
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Classes_Reference.py", "Python", 352, 0, 0, 50, 111, 513
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Races_Reference.py", "Python", 362, 0, 0, 0, 64, 426
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Utils\Importer.py", "Python", 3, 0, 0, 0, 0, 3
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Utils\funcs.py", "Python", 52, 0, 0, 0, 10, 62
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bCaster.py", "Python", 210, 0, 0, 0, 43, 253
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bClass.py", "Python", 497, 0, 0, 5, 138, 640
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bRace.py", "Python", 686, 0, 0, 3, 203, 892
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Main.py", "Python", 33, 0, 0, 0, 17, 50
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database.py", "Python", 574, 0, 0, 2, 114, 690
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database_Manager.py", "Python", 315, 0, 0, 0, 77, 392
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Item_Manager.py", "Python", 51, 0, 0, 0, 10, 61
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\database_backup.py", "Python", 271, 0, 0, 0, 75, 346
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\Pathing.py", "Python", 4, 0, 0, 0, 2, 6
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\UI\c_Size.py", "Python", 44, 0, 0, 0, 11, 55
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\UI\c_Tag.py", "Python", 40, 0, 0, 0, 10, 50
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\UI\f_Utility.py", "Python", 92, 0, 0, 3, 19, 114
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\color_reference.py", "Python", 39, 0, 0, 0, 9, 48
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\config_save.ini", "Ini", 0, 0, 47, 0, 10, 57
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\q.py", "Python", 13, 0, 0, 0, 4, 17
"Total", "-", 11382, 1293, 47, 138, 1251, 14111
