"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Dist\db.json", "JSON", 0, -71, 0, 0, -71
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Armory\Bazaar.py", "Python", 51, 0, 0, 10, 61
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Armory\Closet.py", "Python", 0, 0, 49, 11, 60
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Class.py", "Python", 0, 0, 0, 1, 1
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\On_Start.py", "Python", 20, 0, -21, 1, 0
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Utils\Importer.py", "Python", 1, 0, 0, 0, 1
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Caster.py", "Python", -119, 0, 0, -23, -142
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Classes_Reference.py", "Python", -352, 0, -50, -111, -513
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Races_Reference.py", "Python", -362, 0, 0, -64, -426
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bArmor.py", "Python", 0, 0, 0, 1, 1
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bClass.py", "Python", 25, 0, 0, 8, 33
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database.py", "Python", 4, 0, 3, 4, 11
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database_Manager.py", "Python", 3, 0, 0, -2, 1
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Item_Manager.py", "Python", 3, 0, 0, 1, 4
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\UI\f_Utility.py", "Python", 7, 0, -3, 5, 9
"Total", "-", -719, -71, -22, -158, -970
